Training Log for rl_finetuned
==================================================
Epoch 0 | Loss: -0.45 | Avg Makespan: 115.8 | Best: 111.0 | Baseline: 115.8
Epoch 1 | Loss: -0.47 | Avg Makespan: 123.8 | Best: 115.0 | Baseline: 116.5
Epoch 2 | Loss: -0.40 | Avg Makespan: 116.8 | Best: 102.0 | Baseline: 116.6
Epoch 3 | Loss: -0.33 | Avg Makespan: 120.2 | Best: 118.0 | Baseline: 116.9
Epoch 4 | Loss: -0.55 | Avg Makespan: 126.2 | Best: 120.0 | Baseline: 117.9
Epoch 5 | Loss: -0.42 | Avg Makespan: 128.5 | Best: 121.0 | Baseline: 118.9
Epoch 6 | Loss: -0.54 | Avg Makespan: 125.0 | Best: 103.0 | Baseline: 119.5
Epoch 7 | Loss: -0.41 | Avg Makespan: 113.2 | Best: 106.0 | Baseline: 118.9
Epoch 8 | Loss: -0.45 | Avg Makespan: 118.5 | Best: 102.0 | Baseline: 118.9
Epoch 9 | Loss: -0.41 | Avg Makespan: 124.5 | Best: 123.0 | Baseline: 119.4
Epoch 10 | Loss: -0.46 | Avg Makespan: 118.5 | Best: 113.0 | Baseline: 119.3
Epoch 11 | Loss: -0.46 | Avg Makespan: 123.2 | Best: 110.0 | Baseline: 119.7
Epoch 12 | Loss: -0.42 | Avg Makespan: 123.2 | Best: 114.0 | Baseline: 120.1
Epoch 13 | Loss: -0.47 | Avg Makespan: 127.2 | Best: 124.0 | Baseline: 120.8
Epoch 14 | Loss: -0.46 | Avg Makespan: 119.5 | Best: 111.0 | Baseline: 120.7
Epoch 15 | Loss: -0.34 | Avg Makespan: 117.0 | Best: 109.0 | Baseline: 120.3
Epoch 16 | Loss: -0.50 | Avg Makespan: 117.8 | Best: 115.0 | Baseline: 120.0
Epoch 17 | Loss: -0.31 | Avg Makespan: 121.8 | Best: 113.0 | Baseline: 120.2
Epoch 18 | Loss: -0.52 | Avg Makespan: 128.0 | Best: 116.0 | Baseline: 121.0
Epoch 19 | Loss: -0.45 | Avg Makespan: 127.5 | Best: 112.0 | Baseline: 121.6
Epoch 20 | Loss: -0.45 | Avg Makespan: 127.2 | Best: 119.0 | Baseline: 122.2
Epoch 21 | Loss: -0.47 | Avg Makespan: 122.5 | Best: 117.0 | Baseline: 122.2
Epoch 22 | Loss: -0.44 | Avg Makespan: 136.2 | Best: 127.0 | Baseline: 123.6
Epoch 23 | Loss: -0.48 | Avg Makespan: 125.0 | Best: 123.0 | Baseline: 123.8
Epoch 24 | Loss: -0.51 | Avg Makespan: 116.5 | Best: 105.0 | Baseline: 123.0
Epoch 25 | Loss: -0.46 | Avg Makespan: 122.0 | Best: 104.0 | Baseline: 122.9
Epoch 26 | Loss: -0.49 | Avg Makespan: 115.2 | Best: 111.0 | Baseline: 122.2
Epoch 27 | Loss: -0.49 | Avg Makespan: 122.0 | Best: 114.0 | Baseline: 122.2
Epoch 28 | Loss: -0.42 | Avg Makespan: 121.8 | Best: 112.0 | Baseline: 122.1
Epoch 29 | Loss: -0.37 | Avg Makespan: 130.5 | Best: 126.0 | Baseline: 123.0
Epoch 30 | Loss: -0.36 | Avg Makespan: 128.0 | Best: 118.0 | Baseline: 123.5
Epoch 31 | Loss: -0.43 | Avg Makespan: 121.5 | Best: 117.0 | Baseline: 123.3
Epoch 32 | Loss: -0.45 | Avg Makespan: 118.5 | Best: 102.0 | Baseline: 122.8
Epoch 33 | Loss: -0.39 | Avg Makespan: 121.5 | Best: 113.0 | Baseline: 122.7
Epoch 34 | Loss: -0.44 | Avg Makespan: 129.0 | Best: 116.0 | Baseline: 123.3
Epoch 35 | Loss: -0.43 | Avg Makespan: 123.5 | Best: 117.0 | Baseline: 123.3
Epoch 36 | Loss: -0.45 | Avg Makespan: 123.8 | Best: 117.0 | Baseline: 123.4
Epoch 37 | Loss: -0.41 | Avg Makespan: 129.5 | Best: 126.0 | Baseline: 124.0
Epoch 38 | Loss: -0.49 | Avg Makespan: 119.0 | Best: 110.0 | Baseline: 123.5
Epoch 39 | Loss: -0.48 | Avg Makespan: 121.0 | Best: 111.0 | Baseline: 123.2
Epoch 40 | Loss: -0.36 | Avg Makespan: 117.5 | Best: 103.0 | Baseline: 122.7
Epoch 41 | Loss: -0.55 | Avg Makespan: 123.8 | Best: 115.0 | Baseline: 122.8
Epoch 42 | Loss: -0.29 | Avg Makespan: 113.0 | Best: 101.0 | Baseline: 121.8
Epoch 43 | Loss: -0.40 | Avg Makespan: 113.8 | Best: 99.0 | Baseline: 121.0
Epoch 44 | Loss: -0.39 | Avg Makespan: 117.5 | Best: 112.0 | Baseline: 120.6
Epoch 45 | Loss: -0.36 | Avg Makespan: 120.5 | Best: 112.0 | Baseline: 120.6
Epoch 46 | Loss: -0.45 | Avg Makespan: 124.5 | Best: 121.0 | Baseline: 121.0
Epoch 47 | Loss: -0.28 | Avg Makespan: 110.5 | Best: 105.0 | Baseline: 120.0
Epoch 48 | Loss: -0.37 | Avg Makespan: 124.8 | Best: 121.0 | Baseline: 120.4
Epoch 49 | Loss: -0.25 | Avg Makespan: 97.5 | Best: 90.0 | Baseline: 118.1
Epoch 50 | Loss: -0.44 | Avg Makespan: 109.5 | Best: 94.0 | Baseline: 117.3
Epoch 51 | Loss: -0.53 | Avg Makespan: 127.8 | Best: 113.0 | Baseline: 118.3
Epoch 52 | Loss: -0.25 | Avg Makespan: 118.5 | Best: 110.0 | Baseline: 118.3
Epoch 53 | Loss: -0.25 | Avg Makespan: 116.5 | Best: 114.0 | Baseline: 118.2
Epoch 54 | Loss: -0.38 | Avg Makespan: 122.5 | Best: 119.0 | Baseline: 118.6
Epoch 55 | Loss: -0.35 | Avg Makespan: 112.8 | Best: 104.0 | Baseline: 118.0
Epoch 56 | Loss: -0.35 | Avg Makespan: 111.2 | Best: 106.0 | Baseline: 117.3
Epoch 57 | Loss: -0.33 | Avg Makespan: 114.5 | Best: 98.0 | Baseline: 117.0
Epoch 58 | Loss: -0.39 | Avg Makespan: 122.2 | Best: 117.0 | Baseline: 117.6
Epoch 59 | Loss: -0.52 | Avg Makespan: 107.8 | Best: 99.0 | Baseline: 116.6
Epoch 60 | Loss: -0.32 | Avg Makespan: 115.2 | Best: 110.0 | Baseline: 116.5
Epoch 61 | Loss: -0.26 | Avg Makespan: 106.8 | Best: 98.0 | Baseline: 115.5
Epoch 62 | Loss: -0.20 | Avg Makespan: 114.5 | Best: 111.0 | Baseline: 115.4
